Barn [kW],Dishwasher [kW],Fridge [kW],Furnace 1 [kW],Furnace 2 [kW],Garage door [kW],Home office [kW],House overall [kW],Kitchen 12 [kW],Kitchen 14 [kW],Kitchen 38 [kW],Living room [kW],Microwave [kW],Solar [kW],Well [kW],Wine cellar [kW],apparentTemperature,datetime,dewPoint,gen [kW],humidity,precipIntensity,precipProbability,pressure,temperature,use [kW],visibility,windBearing,windSpeed
0.034216667,0.000316667,0.12075,0.096066667,0.373583333,0.013183333,0.0508,0.90385,0.0004,0.000166667,1.67e-05,0.001583333,0.004216667,0.003383333,0.001,0.007083333,21.64,2016-01-01 02:28:00,18.57,0.003383333,0.64,0.0,0.0,1014.41,29.1,0.90385,10.0,249.0,7.51
0.03405,0.000383333,0.005333333,0.05778333299999999,0.574116667,0.013416667,0.050266667,1.044116667,0.000616667,0.0002,1.67e-05,0.00165,0.004066667,0.003433333,0.00105,0.007183333,21.7,2016-01-01 02:29:00,17.62,0.003433333,0.63,0.0,0.0,1015.27,28.67,1.044116667,10.0,254.0,6.71
0.034,0.000383333,0.005333333,0.10875,0.640166667,0.013433333,0.05015,1.089116667,0.000616667,0.000233333,1.67e-05,0.001616667,0.004216667,0.0034,0.001016667,0.0073,20.86,2016-01-01 02:30:00,17.27,0.0034,0.62,0.0,0.0,1015.67,28.65,1.089116667,10.0,253.0,7.86
0.030933333,6.67e-05,0.021033333,0.458116667,0.651883333,0.012633333,0.04875,1.945383333,0.000516667,0.00015000000000001124,1.67e-05,0.34035,0.005333333000000051,0.010066667,0.001083333,0.122766667,23.39,2016-01-01 02:31:00,17.07,0.010066667,0.56,0.0,0.0,1016.09,30.79,1.945383333,10.0,254.0,7.97
0.031783333,0.0,0.004966667,0.02015,0.064183333,0.01275,0.0491,0.4474,0.0007,0.0001,1.67e-05,0.001333333,0.004333333,0.056533333,0.001,0.123583333,24.22,2016-01-01 02:32:00,17.08,0.056533333,0.53,0.0,0.0,1016.35,32.13,0.4474,10.0,258.0,9.37
0.031283333,3.33e-05,0.139316667,0.070016667,0.336066667,0.012966667,0.048483333,0.94825,0.000283333,0.00015,3.33e-05,0.001383333,0.004133333,0.05175,0.00105,0.007633333,25.62,2016-01-01 02:33:00,17.27,0.05175,0.51,0.0,0.0,1015.93,33.53,0.94825,10.0,262.0,10.01
0.031933333,0.00025,0.004833333,0.468533333,0.064583333,0.012516667,0.049783333,0.46995,0.000783333,0.00035,1.67e-05,0.001466667,0.0043,0.300283333,0.001,0.00735,27.41,2016-01-01 02:34:00,17.25,0.300283333,0.48,0.0,0.0,1014.88,35.11,0.46995,10.0,279.0,10.35
0.0319,1.67e-05,0.12395,0.020566667,0.064533333,0.013033333,0.049033333,0.20395,0.0004,5e-05,3.33e-05,0.0014,0.004116667,0.357233333,0.001,0.007416667,27.49,2016-01-01 02:35:00,17.4,0.357233333,0.47,0.0,0.0,1014.34,35.43,0.20395,10.0,270.0,11.07
0.03125,0.0,0.005083333,0.020083333,0.06485,0.012783333,0.048983333,0.178733333,0.000716667,3.33e-05,0.0,0.001516667,0.004166667,0.123383333,0.001,0.007233333,28.55,2016-01-01 02:36:00,17.6,0.123383333,0.47,0.0,0.0,1013.73,35.86,0.178733333,10.0,280.0,9.92
0.03125,0.0,0.119466667,0.02015,0.064633333,0.012716667,0.049083333,0.567066667,0.000366667,5e-05,0.0,0.094983333,0.004033333,0.033583333,0.001033333,0.007266667,26.43,2016-01-01 02:37:00,18.49,0.033583333,0.51,0.0,0.0,1013.75,34.78,0.567066667,10.0,283.0,11.65
0.353666667,0.000333333,0.004833333,0.6364,0.070233333,0.012066667,0.049266667,1.72155,0.001083333,0.000233333,0.0,0.099033333,0.004333333,0.011216667,0.001,0.007083333,27.59,2016-01-01 02:38:00,18.79,0.011216667,0.53,0.0,0.0,1014.08,34.26,1.72155,10.0,282.0,8.02
0.352866667,6.67e-05,0.005466667,0.18396666700000003,0.064066667,0.012583333,0.09725,1.541383333,0.00105,1.67e-05,1.67e-05,0.098933333,0.0043,0.00085,0.001,0.007183333,27.76,2016-01-01 02:39:00,19.32,0.00085,0.55,0.0,0.0,1014.09,33.61,1.541383333,10.0,263.0,6.53
0.587866667,0.0,0.1353,0.01973333300000002,0.061700000000000005,0.011866667,0.110766667,1.819883333,0.000516667,5e-05,1.67e-05,0.0988,0.004183333,0.003333333,0.001066667,0.007066667,27.64,2016-01-01 02:40:00,19.69,0.003333333,0.57,0.0,0.0,1014.02,33.3,1.819883333,10.0,243.0,6.18
0.493183333,1.67e-05,0.037283333,0.31625,0.67655,0.012266667,0.090566667,2.772533333,0.00085,6.67e-05,1.67e-05,0.100333333,0.004216667,0.003333333,0.001016667,0.007383333,27.25,2016-01-01 02:41:00,19.75,0.003333333,0.57,0.0,0.0,1014.28,33.22,2.772533333,10.0,244.0,6.59
0.446416667,0.0,0.120033333,0.081266667,0.077783333,0.012766667,0.09105,2.967333333,0.000516667,8.33e-05,0.0,0.100233333,0.004233333,0.003416667,0.001066667,0.0077,27.23,2016-01-01 02:42:00,20.0,0.003416667,0.58,0.0,0.0,1014.2,33.03,2.967333333,10.0,233.0,6.3
0.0313,0.0,0.128733333,0.020166667,0.062383333,0.012816667,0.090816667,0.825083333,0.00045,5e-05,1.67e-05,0.099383333,0.004133333,0.003366667,0.001,0.007333333,27.12,2016-01-01 02:43:00,19.73,0.003366667,0.58,0.0,0.0,1013.74,33.03,0.825083333,10.0,220.0,6.45
0.03115,0.113733333,0.092033333,0.633483333,0.06286666699999999,0.012016667,0.470583333,1.606783333,0.0006,0.0008,1.67e-05,0.09895,0.004183333,0.00335,0.001016667,0.006766667,26.86,2016-01-01 02:44:00,19.74,0.00335,0.59,0.0,0.0,1012.96,32.64,1.606783333,10.0,219.0,6.17
0.031566667,0.01395,0.004716667,0.020766667,0.062583333,0.013083333,0.484133333,0.842283333,0.000733333,0.000333333,0.0,0.10005,0.004216667,0.0034,0.001016667,0.007116667,25.7,2016-01-01 02:45:00,19.64,0.0034,0.6,0.0,0.0,1012.4,31.88,0.842283333,10.0,214.0,6.51
0.031533333,0.000233333,0.004766667,0.020783333,0.061816667,0.0131,0.44575,0.79235,0.0007,0.000316667,1.67e-05,0.10045,0.004233333,0.0034,0.001016667,0.007183333,25.5,2016-01-01 02:46:00,19.75,0.0034,0.61,0.0,0.0,1012.01,31.53,0.79235,10.0,221.0,6.22
0.031783333,0.000433333,0.12635,0.0219,0.583066667,0.013533333,0.042266667,1.078733333,0.000383333,0.000383333,1.67e-05,0.00145,0.004233333,0.00305,0.001016667,0.007633333,23.95,2016-01-01 02:47:00,19.63,0.00305,0.63,0.0,0.0,1011.49,30.61,1.078733333,10.0,211.0,6.82
0.031966667,0.000283333,0.005166667,0.0207,0.0635,0.01315,0.0425,0.306833333,0.000716667,1.67e-05,0.0,0.00165,0.00425,0.003083333,0.001016667,0.0073,22.76,2016-01-01 02:48:00,19.24,0.003083333,0.64,0.0,0.0,1010.93,29.77,0.306833333,10.0,200.0,7.07
0.031466667,0.000366667,0.121583333,0.06935,0.6946,0.013466667,0.04185,1.36135,0.00035,0.000316667,1.67e-05,0.001666667,0.004233333,0.003033333,0.001,0.125,22.44,2016-01-01 02:49:00,19.22,0.003033333,0.66,0.0,0.0,1010.33,29.25,1.36135,10.0,195.0,6.65
0.0313,0.0002,0.005033333,0.486666667,0.586083333,0.0128,0.04225,1.386616667,0.0007,3.33e-05,0.0,0.001633333,0.004,0.003316667,0.001,0.007383333,21.88,2016-01-01 02:50:00,18.94,0.003316667,0.66,0.0,0.0,1009.32,28.79,1.386616667,10.0,197.0,6.66
0.0313,0.000366667,0.005316667,0.106383333,0.59205,0.01345,0.042033333,1.107366667,0.000616667,0.000183333,3.33e-05,0.001583333,0.004,0.003333333,0.001033333,0.00755,21.42,2016-01-01 02:51:00,19.44,0.003333333,0.68,0.0,0.0,1008.99,28.63,1.107366667,10.0,198.0,7.03
0.03155,0.000216667,0.0051,0.486933333,0.682166667,0.012916667,0.042266667,1.50435,0.000666667,0.0,1.67e-05,0.0016,0.004,0.003316667,0.001,0.00745,20.31,2016-01-01 02:52:00,19.67,0.003316667,0.72,0.0,0.0,1008.66,27.57,1.50435,10.0,196.0,6.8
0.03155,6.67e-05,0.005066667,0.497666667,0.203983333,0.012566667,0.042616667,1.027116667,0.000733333,0.000283333,1.67e-05,0.0016,0.004,0.003366667,0.001016667,0.007216667,19.97,2016-01-01 02:53:00,19.89,0.003366667,0.73,0.0,0.0,1008.51,27.55,1.027116667,10.0,207.0,7.21
0.031033333,0.000216667,0.13155,0.482233333,0.670766667,0.012683333,0.041766667,1.639133333,0.00035,0.0001,1.67e-05,0.0015,0.004183333,0.003016667,0.001,0.007366667,21.0,2016-01-01 02:54:00,20.87,0.003016667,0.73,0.0,0.0,1008.83,28.32,1.639133333,10.0,213.0,7.09
0.029616667,1.67e-05,0.005083333,0.0201,0.06425,0.012866667,0.040566667,0.382083333,0.000683333,0.0,0.0,0.001516667,0.004033333,0.001116667,0.001,0.007233333,23.88,2016-01-01 02:55:00,21.78,0.001116667,0.67,0.0,0.0,1009.07,31.4,0.382083333,10.0,218.0,8.39
0.029083333,1.67e-05,0.121966667,0.253883333,0.62945,0.01305,0.040416667,1.281633333,0.000383333,0.00025,1.67e-05,0.001466667,0.0042,0.057183333,0.000983333,0.007483333,27.61,2016-01-01 02:56:00,22.4,0.057183333,0.6,0.0,0.0,1008.88,34.78,1.281633333,10.0,215.0,9.11
0.0291,1.67e-05,0.005133333,0.020466667,0.08165,0.01305,0.040666667,0.079016667,0.000666667,3.33e-05,0.0,0.00145,0.004083333,0.316016667,0.001,0.00725,30.96,2016-01-01 02:57:00,22.47,0.316016667,0.55,0.0,0.0,1008.43,37.22,0.079016667,10.0,239.0,8.45
0.029083333,1.67e-05,0.00485,0.09925,0.0628,0.012783333,0.040833333,0.757466667,0.001316667,0.476666667,1.67e-05,0.00145,0.004,0.066416667,0.001016667,0.00725,31.52,2016-01-01 02:58:00,22.54,0.066416667,0.51,0.0,0.0,1007.06,39.04,0.757466667,10.0,250.0,12.31
0.3232,0.1143,0.0051,0.020166667,0.062066667,0.01285,0.040683333,0.5279,0.000883333,0.0,1.67e-05,0.001033333,0.004283333,0.209766667,0.001033333,0.007233333,32.55,2016-01-01 02:59:00,22.83,0.209766667,0.51,0.0,0.0,1007.03,39.55,0.5279,10.0,253.0,11.3
0.29435,0.00055,0.005116667,0.12355,0.0662,0.012933333,0.040633333,0.25915,0.000866667,0.0,0.0,0.001,0.004366667,0.442416667,0.001,0.0074,32.48,2016-01-01 03:00:00,22.82,0.442416667,0.52,0.0,0.0,1007.33,39.11,0.25915,10.0,264.0,10.12
0.029083333,0.0,0.1247,0.020383333,0.065283333,0.012966667,0.040383333,0.4049,0.000433333,8.33e-05,1.67e-05,0.0015,0.0042,0.035883333,0.001,0.006883333,32.42,2016-01-01 03:01:00,23.03,0.035883333,0.54,0.0,0.0,1007.88,38.37,0.4049,10.0,252.0,8.35
0.02905,0.0,0.004883333,0.020633333,0.197216667,0.01295,0.040716667,0.917816667,0.0012,0.39725,0.0,0.00145,0.0042,0.028483333,0.00105,0.122416667,31.4,2016-01-01 03:02:00,23.0,0.028483333,0.56,0.0,0.0,1008.36,37.21,0.917816667,10.0,259.0,7.63
0.422416667,1.67e-05,0.1192,0.020733333,0.19451666700000003,0.012983333,0.081933333,1.219816667,0.000516667,0.00011666699999999999,1.67e-05,0.001,0.00435,0.00695,0.001016667,0.1235,30.5,2016-01-01 03:03:00,23.13,0.00695,0.59,0.0,0.0,1009.04,35.89,1.219816667,10.0,261.0,6.52
0.467466667,8.33e-05,0.00555,0.021433333,0.67855,0.013333333,0.0824,2.038766667,0.00085,0.000483333,1.67e-05,0.09765,0.004116667,0.003783333,0.001016667,0.00715,29.18,2016-01-01 03:04:00,23.94,0.003783333,0.66,0.0,0.0,1009.58,34.21,2.038766667,10.0,244.0,5.59
0.03195,3.33e-05,0.118383333,0.021233333,0.653283333,0.013133333,0.67905,2.287516667,0.0005,1.67e-05,0.0,0.09695,0.004033333,0.00325,0.00105,0.006883333,28.74,2016-01-01 03:05:00,23.82,0.00325,0.65,0.0,0.0,1010.08,34.44,2.287516667,10.0,259.0,6.55
0.029383333,8.33e-05,0.017833333,0.021366667,0.653133333,0.0133,0.171516667,2.2074,0.000633333,0.000233333,3.33e-05,0.099216667,0.47675,0.00305,0.001183333,0.007016667,28.85,2016-01-01 03:06:00,23.86,0.00305,0.69,0.0,0.0,1010.23,32.8,2.2074,10.0,217.0,4.14
0.03,6.67e-05,0.118766667,0.0214,0.65755,0.013283333,0.220583333,1.864683333,0.0005,0.000416667,1.67e-05,0.099383333,0.003866667,0.0037,0.001033333,0.007183333,26.3,2016-01-01 03:07:00,23.83,0.0037,0.72,0.0,0.0,1010.18,31.64,1.864683333,9.76,246.0,5.4
0.031033333,1.67e-05,0.005083333,0.0203,0.063333333,0.01295,0.262966667,1.2652,0.001016667,0.0,0.0,0.002116667,0.00395,0.003683333,0.00105,0.00675,24.21,2016-01-01 03:08:00,23.76,0.003683333,0.76,0.0,0.0,1010.26,30.56,1.2652,9.72,258.0,6.39
0.030133333,1.67e-05,0.00475,0.020783333,0.062183333,0.013116667,0.470033333,0.721133333,0.000733333,0.000266667,0.0,0.001583333,0.004216667,0.003383333,0.001016667,0.006716667,22.66,2016-01-01 03:09:00,23.6,0.003383333,0.8,0.0,0.0,1010.32,28.88,0.721133333,9.37,294.0,5.83
0.030083333,3.33e-05,0.0047,0.093683333,0.062483333,0.01295,0.416733333,0.73875,0.00075,0.000283333,0.0,0.001683333,0.004216667,0.003383333,0.001033333,0.00665,21.12,2016-01-01 03:10:00,22.52,0.003383333,0.78,0.0,0.0,1010.4,28.58,0.73875,9.58,283.0,7.35
0.030266667,0.000216667,0.005183333,0.468966667,0.062866667,0.0125,0.042666667,0.741266667,0.000783333,0.000316667,0.0,0.001666667,0.004233333,0.003416667,0.001016667,0.006516667,20.64,2016-01-01 03:11:00,22.11,0.003416667,0.76,0.0,0.0,1010.7,28.69,0.741266667,9.91,302.0,8.27
0.030333333,1.67e-05,0.005083333,0.107116667,0.06355,0.013016667,0.042516667,0.385983333,0.000733333,3.33e-05,0.0,0.001666667,0.004266667,0.0034,0.001016667,0.00675,19.51,2016-01-01 03:12:00,19.77,0.0034,0.67,0.0,0.0,1011.7,29.25,0.385983333,9.81,308.0,11.61
0.030133333,0.0,0.00535,0.0784,0.062716667,0.013016667,0.042483333,0.355416667,0.000733333,5e-05,1.67e-05,0.001666667,0.004233333,0.003366667,0.001,0.006783333,17.69,2016-01-01 03:13:00,17.3,0.003366667,0.63,0.0,0.0,1012.07,28.22,0.355416667,9.75,318.0,12.73
0.030316667,0.0,0.127583333,0.020566667000000004,0.0627,0.0131,0.042366667,0.4516,0.0004,8.33e-05,0.0,0.001683333,0.004233333,0.003366667,0.001016667,0.00685,16.47,2016-01-01 03:14:00,15.31,0.003366667,0.61,0.0,0.0,1012.52,27.08,0.4516,9.72,322.0,12.26
0.030116667,0.000216667,0.00515,0.4848,0.062333333,0.012383333,0.042733333,0.750216667,0.000766667,0.0003,1.67e-05,0.001566667,0.004216667,0.003366667,0.001016667,0.006483333,13.93,2016-01-01 03:15:00,13.45,0.003366667,0.61,0.0,0.0,1013.59,24.96,0.750216667,9.62,321.0,11.99
0.029933333,5e-05,0.121233333,0.484383333,0.655183333,0.012683333,0.0421,1.60765,0.00035,8.33e-05,0.0,0.001583333,0.004166667,0.00335,0.001,0.006883333,12.92,2016-01-01 03:16:00,12.3,0.00335,0.61,0.0,0.0,1014.66,23.75,1.60765,9.81,320.0,11.03
0.0299,6.67e-05,0.0057,0.021166667,0.634633333,0.013166667,0.0419,1.089666667,0.000616667,0.0002,1.67e-05,0.001566667,0.004133333,0.003316667,0.001033333,0.12255,10.26,2016-01-01 03:17:00,10.96,0.003316667,0.62,0.0,0.0,1015.51,22.09,1.089666667,9.81,328.0,12.12
0.029566667,0.0,0.119766667,0.0198,0.062133333,0.012633333,0.0421,0.548666667,0.00045,1.67e-05,0.0,0.001583333,0.004116667,0.003316667,0.001,0.122866667,9.4,2016-01-01 03:18:00,9.57,0.003316667,0.59,0.0,0.0,1016.3,21.62,0.548666667,9.03,346.0,12.63
0.02765,1.67e-05,0.005466667,0.019983333,0.061816667,0.0128,0.040433333,0.281283333,0.0007,1.67e-05,1.67e-05,0.001483333,0.00415,0.003533333,0.001016667,0.00675,9.13,2016-01-01 03:19:00,8.31,0.003533333,0.57,0.0,0.0,1017.37,21.06,0.281283333,9.54,340.0,11.78
0.026316667,0.000133333,0.028683333,0.0215,0.647383333,0.013316667,0.0404,1.328033333,0.00055,0.086833333,0.0,0.334566667,0.03315,0.084216667,0.001033333,0.007066667,8.83,2016-01-01 03:20:00,7.22,0.084216667,0.54,0.0,0.0,1017.69,21.22,1.328033333,9.73,344.0,12.76
0.0268,3.33e-05,0.005233333,0.243733333,0.706533333,0.01305,0.040216667,1.370566667,0.0006,0.00015,1.67e-05,0.332133333,0.004183333,0.347083333,0.001,0.007066667,9.35,2016-01-01 03:21:00,6.27,0.347083333,0.51,0.0,0.0,1017.42,21.6,1.370566667,10.0,338.0,12.7
0.0267,1.324433333,0.116233333,0.147183333,0.1807,0.011316667,0.106116667,2.678083333,0.000633333,0.000983333,0.0,0.00135,0.004166667,0.496866667,0.995633333,0.00635,9.99,2016-01-01 03:22:00,5.34,0.496866667,0.49,0.0,0.0,1017.51,21.63,2.678083333,10.0,346.0,11.54
0.02675,1.34175,0.00405,0.017833333,0.073883333,0.01145,0.106483333,1.603133333,0.000833333,0.001133333,1.67e-05,0.001466667,0.004016667,0.181833333,0.001033333,0.006066667,8.68,2016-01-01 03:23:00,3.8,0.181833333,0.46,0.0,0.0,1017.76,21.24,1.603133333,10.0,335.0,13.12
0.028183333,0.000283333,0.137516667,0.492283333,0.0659,0.01205,0.142433333,1.321466667,0.000633333,0.0001,0.0,0.001583333,0.0041,0.280183333,0.001083333,0.00655,7.12,2016-01-01 03:24:00,2.43,0.280183333,0.45,0.0,0.0,1018.83,20.1,1.321466667,10.0,338.0,13.36
0.02465,0.000283333,0.004750000000000001,0.501366667,0.0649,0.01215,0.041416667,1.5733,0.000383333,0.00075,0.0,0.001216667,1.16895,0.3408,0.001383333,0.006416667,3.55,2016-01-01 03:25:00,1.35,0.3408,0.48,0.0,0.0,1020.03,17.75,1.5733,10.0,347.0,14.54
